join_key,NFL_Player_Display,college_last_year,college_seasons_count,college_avg_touchdowns,college_avg_yards,college_avg_interceptions,college_total_touchdowns,college_total_yards,college_total_interceptions,nfl_seasons_count,nfl_avg_touchdowns,nfl_avg_yards,nfl_avg_interceptions,nfl_total_touchdowns,nfl_total_yards,nfl_total_interceptions,draft_year,college,team,position
Brock Purdy,Brock Purdy,2018.0,1,16.0,2250.0,7.0,16,2250,7,3,26.333333333333332,3808.0,9.833333333333334,79.0,11424.0,29.5,2022.0,Iowa State,SF,QB
Bryce Petty,Bryce Petty,2014.0,2,30.5,4027.5,5.0,61,8055,10,2,2.5,742.75,6.0,5.0,1485.5,12.0,2015.0,Baylor,NYJ,QB
C.J. Beathard,C.J. Beathard,2016.0,2,17.0,2369.0,7.5,34,4738,15,5,5.854,1213.78,5.142,29.27,6068.9,25.71,2017.0,Iowa,JAX,QB
Cam Newton,Cam Newton,2010.0,1,30.0,2854.0,7.0,30,2854,7,13,16.456923076923076,2676.0146153846154,9.545384615384616,213.94,34788.19,124.09,2011.0,Auburn,CAR,QB
Chad Kelly,Chad Kelly,2016.0,2,25.0,3395.5,11.0,50,6791,22,1,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,Mississippi,DEN,QB
Christian Ponder,Christian Ponder,2010.0,2,17.0,2380.5,7.5,34,4761,15,3,12.943333333333333,2111.056666666667,10.056666666666667,38.83,6333.17,30.17,2011.0,Florida State,MIN,QB
Cody Kessler,Cody Kessler,2015.0,3,29.333333333333332,3442.0,6.333333333333333,88,10326,19,2,5.0,1306.75,2.75,10.0,2613.5,5.5,2016.0,Southern California,CLE,QB
Colin Kaepernick,Colin Kaepernick,2010.0,2,20.5,2537.0,7.0,41,5074,14,7,11.081428571428573,1918.6114285714284,4.571428571428571,77.57000000000001,13430.279999999999,32.0,2011.0,Nevada,SF,QB
Colt McCoy,Colt McCoy,,1,27.0,3521.0,12.0,27,3521,12,9,0.9722222222222222,199.79777777777778,0.6111111111111112,8.75,1798.18,5.5,2010.0,Texas,WAS,QB
Connor Cook,Connor Cook,2015.0,3,23.333333333333332,3030.0,7.0,70,9090,21,0,,,,0.0,0.0,0.0,2016.0,Michigan State,LV,QB
Cooper Rush,Cooper Rush,2016.0,4,22.0,3090.0,13.5,88,12360,54,4,1.635,291.385,0.8275,6.54,1165.54,3.31,2017.0,Central Michigan,DAL,QB
Dak Prescott,Dak Prescott,2015.0,3,22.0,3057.6666666666665,7.666666666666667,66,9173,23,10,25.236,3913.171,9.415000000000001,252.36,39131.71,94.15,2016.0,Mississippi State,DAL,QB
Daniel Jones,Daniel Jones,2018.0,3,17.333333333333332,2733.6666666666665,9.666666666666666,52,8201,29,6,17.453333333333333,3258.4449999999997,11.26,104.72,19550.67,67.56,2019.0,Duke,NYG,QB
David Blough,David Blough,2018.0,3,20.0,2877.0,13.0,60,8631,39,3,3.276666666666667,675.9433333333333,4.5,9.83,2027.83,13.5,2019.0,Purdue,DET,QB
David Fales,David Fales,2013.0,2,33.0,4191.0,11.0,66,8382,22,2,0.165,53.335,0.165,0.33,106.67,0.33,2014.0,San Jose State,CHI,QB
DeShone Kizer,DeShone Kizer,2016.0,2,23.5,2902.5,9.5,47,5805,19,1,11.0,3081.0,24.0,11.0,3081.0,24.0,2017.0,Notre Dame,CLE,QB
Derek Carr,Derek Carr,2013.0,3,37.666666666666664,4243.333333333333,8.0,113,12730,24,10,32.254000000000005,4887.695,14.050999999999998,322.54,48876.95,140.51,2014.0,Fresno State,LV,QB
Deshaun Watson,Deshaun Watson,2016.0,2,38.0,4349.0,15.0,76,8698,30,7,25.277142857142856,3453.4514285714286,9.362857142857143,176.94,24174.16,65.54,2017.0,Clemson,HOU,QB
Desmond Ridder,Desmond Ridder,2018.0,1,20.0,2445.0,5.0,20,2445,5,2,10.75,2754.0,9.5,21.5,5508.0,19.0,2022.0,Cincinnati,ATL,QB
Drew Lock,Drew Lock,2018.0,3,31.666666666666668,3620.3333333333335,10.333333333333334,95,10861,31,4,10.375,2089.7,8.375,41.5,8358.8,33.5,2019.0,Missouri,DEN,QB
Dwayne Haskins,Dwayne Haskins,2018.0,1,49.0,4753.0,8.0,49,4753,8,1,12.0,2804.0,14.0,12.0,2804.0,14.0,2019.0,Ohio State,WAS,QB
E.J. Manuel,E.J. Manuel,2012.0,2,20.5,3031.5,9.0,41,6063,18,4,9.2075,1651.145,7.125,36.83,6604.58,28.5,2013.0,Florida State,BUF,QB
Gardner Minshew,Gardner Minshew,2018.0,2,27.0,3458.0,8.0,54,6916,16,6,16.753333333333334,2599.903333333333,5.8,100.52,15599.42,34.8,2019.0,Washington State,PHI,QB
Garrett Gilbert,Garrett Gilbert,2013.0,3,15.333333333333334,3068.0,13.0,46,9204,39,2,0.085,20.25,0.085,0.17,40.5,0.17,2014.0,SMU,CLE,QB
